s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,ZONE_1
 3.9006447E+001, 1.4428057E+002,-3.9794996E+001,-1.4121221E+002,-1.8673418E+001,-9.9153678E-003, 3.4590498E+001, 0.0000000E+000,-2.0845200E+001,-2.0819478E+001, 5.2967997E-001, 3.2109394E-003,-6.3365439E-002, 3.6813857E+004
 4.0013176E+001, 1.4334251E+002,-3.9746727E+001,-1.3953272E+002,-1.8471371E+001,-9.9167726E-003, 3.4277783E+001, 0.0000000E+000,-2.0113951E+001,-2.0140448E+001, 5.2296793E-001, 3.2109413E-003,-6.2154320E-002, 3.7774796E+004
 4.1002846E+001, 1.4371227E+002,-3.9345446E+001,-1.3839973E+002,-1.7809829E+001,-9.9042776E-003, 3.4887389E+001, 0.0000000E+000,-1.7045993E+001,-1.6965253E+001, 5.1795204E-001, 3.2109339E-003,-6.0852714E-002, 3.8735783E+004
 4.2009575E+001, 1.4438424E+002,-3.9573592E+001,-1.4168441E+002,-1.7685035E+001,-9.9010092E-003, 3.5094042E+001, 0.0000000E+000,-1.9574718E+001,-1.9474655E+001, 5.3107134E-001, 3.2109312E-003,-6.3155754E-002, 3.9719216E+004
 4.3016304E+001, 1.4416096E+002,-3.9406468E+001,-1.3332404E+002,-1.7296601E+001,-9.8891081E-003, 3.5213510E+001, 0.0000000E+000,-1.0714977E+001,-1.0662531E+001, 4.9879933E-001, 3.2109434E-003,-5.8387601E-002, 4.0706213E+004
 4.4005970E+001, 1.4483612E+002,-3.9006438E+001,-1.3416318E+002,-1.7047771E+001,-9.8879663E-003, 3.5750623E+001, 0.0000000E+000,-9.7909553E+000,-9.6405387E+000, 5.0231887E-001, 3.2109345E-003,-5.9038356E-002, 4.1691125E+004
 4.5012699E+001, 1.4368845E+002,-3.8834728E+001,-1.2886087E+002,-1.7191499E+001,-9.9288518E-003, 3.5328923E+001, 0.0000000E+000,-5.8808675E+000,-5.8796502E+000, 4.8121573E-001, 3.2109440E-003,-5.5424872E-002, 4.2681234E+004
 4.6002369E+001, 1.4381689E+002,-3.8815392E+001,-1.3726483E+002,-1.7102493E+001,-9.8845585E-003, 3.5433365E+001, 0.0000000E+000,-1.3962735E+001,-1.3942346E+001, 5.1422362E-001, 3.2109443E-003,-6.0793938E-002, 4.3657433E+004
 4.7009098E+001, 1.4443044E+002,-3.9209543E+001,-1.3333286E+002,-1.6925048E+001,-9.9333629E-003, 3.5574619E+001, 0.0000000E+000,-9.4993783E+000,-9.4723252E+000, 4.9863018E-001, 3.2109441E-003,-5.8090414E-002, 4.4654829E+004
 4.8015827E+001, 1.4383636E+002,-3.8623940E+001,-1.2747343E+002,-1.6738537E+001,-9.9144065E-003, 3.5641225E+001, 0.0000000E+000,-3.5378371E+000,-3.3682409E+000, 4.7583295E-001, 3.2109401E-003,-5.4564843E-002, 4.5653335E+004
 4.9005493E+001, 1.4414349E+002,-3.8845390E+001,-1.2426230E+002,-1.6491512E+001,-9.8663908E-003, 3.5777818E+001, 0.0000000E+000, 3.3299814E-001, 3.1223900E-001, 4.6346941E-001, 3.2109367E-003,-5.2847860E-002, 4.6639326E+004
 5.0016685E+001, 1.4526452E+002,-3.9006439E+001,-1.2905435E+002,-1.6100048E+001,-9.9144262E-003, 3.6309109E+001, 0.0000000E+000,-2.7054225E+000,-2.5971214E+000, 4.8242482E-001, 3.2109201E-003,-5.5895932E-002, 4.7661365E+004
 5.1012531E+001, 1.4316001E+002,-3.8210007E+001,-1.1992236E+002,-1.5867038E+001,-9.9237986E-003, 3.5879422E+001, 0.0000000E+000, 5.0527707E+000, 5.0300995E+000, 4.4789307E-001, 3.2109386E-003,-5.1485844E-002, 4.8656188E+004
 5.2008381E+001, 1.4447946E+002,-3.8471571E+001,-1.3627881E+002,-1.5958892E+001,-9.9613203E-003, 3.6256689E+001, 0.0000000E+000,-1.0047143E+001,-9.9830774E+000, 5.1069575E-001, 3.2109288E-003,-6.0381772E-002, 4.9661016E+004
 5.3004227E+001, 1.4441445E+002,-3.8245850E+001,-1.3465892E+002,-1.5897684E+001,-9.9552694E-003, 3.6382575E+001, 0.0000000E+000,-8.0176103E+000,-8.0153841E+000, 5.0357486E-001, 3.2109316E-003,-5.8632497E-002, 5.0669880E+004
 5.4000076E+001, 1.4317510E+002,-3.8389818E+001,-1.4196138E+002,-1.6261327E+001,-9.9017352E-003, 3.5608824E+001, 0.0000000E+000,-1.7909962E+001,-1.7838505E+001, 5.3168746E-001, 3.2109348E-003,-6.2662282E-002, 5.1657087E+004
 5.5012802E+001, 1.4324791E+002,-3.7868309E+001,-1.2989267E+002,-1.6142382E+001,-9.9689572E-003, 3.5969383E+001, 0.0000000E+000,-4.6473254E+000,-4.6960360E+000, 4.8465039E-001, 3.2109319E-003,-5.5414898E-002, 5.2671255E+004
 5.6008648E+001, 1.4412786E+002,-3.8430610E+001,-1.2626082E+002,-1.5834776E+001,-9.9127376E-003, 3.6196632E+001, 0.0000000E+000,-3.5744835E-001,-2.1162434E-001, 4.7070685E-001, 3.2109333E-003,-5.3400244E-002, 5.3674845E+004
 5.7004498E+001, 1.4407609E+002,-3.7971989E+001,-1.2681284E+002,-1.5325177E+001,-9.9415956E-003, 3.6574978E+001, 0.0000000E+000, 4.9172940E-001, 5.3112189E-001, 4.7206234E-001, 3.2109423E-003,-5.2883674E-002, 5.4688665E+004
 5.8000343E+001, 1.4369269E+002,-3.8205485E+001,-1.3277246E+002,-1.5366210E+001,-9.9276325E-003, 3.6272450E+001, 0.0000000E+000,-6.4640413E+000,-6.3889474E+000, 4.9628584E-001, 3.2109365E-003,-5.7441801E-002, 5.5694100E+004
 5.9013069E+001, 1.4496617E+002,-3.8266596E+001,-1.3175565E+002,-1.5361996E+001,-9.9285330E-003, 3.6797170E+001, 0.0000000E+000,-3.4902152E+000,-3.6308280E+000, 4.9277423E-001, 3.2109261E-003,-5.7392766E-002, 5.6731827E+004
 6.0000000E+001, 1.4385811E+002,-3.7605196E+001,-1.4222102E+002,-1.5411639E+001,-9.9464089E-003, 3.6622838E+001, 0.0000000E+000,-1.4848078E+001,-1.4766851E+001, 5.3333227E-001, 3.2109195E-003,-6.3394653E-002, 5.7737995E+004
